Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
09/01/2020,AUGZ,2SPY  210730C00328670,2SPY  210730C00328670,SPY 7/30/2021 328.67 C,236.00,41.781781,986050.03,10.05%,9815737.50,375000,15,
09/01/2020,AUGZ,2SPY  210730P00295800,2SPY  210730P00295800,SPY 7/30/2021 295.80 P,-316.00,16.738105,-528924.12,-5.39%,9815737.50,375000,15,
09/01/2020,AUGZ,912796UC1,912796UC1,UNITED STATES TREAS BILLS,9363000.00,99.958611,9359124.75,95.35%,9815737.50,375000,15,
09/01/2020,AUGZ,Cash&Other,Cash&Other,Cash & Other,-724.96,1.000000,-724.96,-0.01%,9815737.50,375000,15,Y
09/01/2020,ECOZ,AAPL,037833100,APPLE INC,1568.00,129.040000,202334.72,3.66%,5525625.00,175000,7,
09/01/2020,ECOZ,ABBV,00287Y109,ABBVIE INC,511.00,95.770000,48938.47,0.89%,5525625.00,175000,7,
09/01/2020,ECOZ,ABC,03073E105,AMERISOURCEBERGEN CORP,778.00,97.030000,75489.34,1.37%,5525625.00,175000,7,
09/01/2020,ECOZ,ABT,002824100,ABBOTT LABS,1114.00,109.470000,121949.58,2.21%,5525625.00,175000,7,
09/01/2020,ECOZ,ACN,G1151C101,ACCENTURE PLC IRELAND,175.00,239.930000,41987.75,0.76%,5525625.00,175000,7,
09/01/2020,ECOZ,ADBE,00724F101,ADOBE SYSTEMS INCORPORATED,213.00,513.390000,109352.07,1.98%,5525625.00,175000,7,
09/01/2020,ECOZ,ALL,020002101,ALLSTATE CORP,248.00,93.000000,23064.00,0.42%,5525625.00,175000,7,
09/01/2020,ECOZ,AMGN,031162100,AMGEN INC,161.00,253.320000,40784.52,0.74%,5525625.00,175000,7,
09/01/2020,ECOZ,AMZN,023135106,AMAZON COM INC,56.00,3450.960000,193253.76,3.50%,5525625.00,175000,7,
09/01/2020,ECOZ,AXP,025816109,AMERICAN EXPRESS CO,397.00,101.590000,40331.23,0.73%,5525625.00,175000,7,
09/01/2020,ECOZ,BAX,071813109,BAXTER INTL INC,596.00,87.070000,51893.72,0.94%,5525625.00,175000,7,
09/01/2020,ECOZ,BKNG,09857L108,BOOKING HOLDINGS INC,38.00,1910.450000,72597.10,1.31%,5525625.00,175000,7,
09/01/2020,ECOZ,BLK,09247X101,BLACKROCK INC,119.00,594.190000,70708.61,1.28%,5525625.00,175000,7,
09/01/2020,ECOZ,BLL,058498106,BALL CORP,602.00,80.370000,48382.74,0.88%,5525625.00,175000,7,
09/01/2020,ECOZ,BMY,110122108,BRISTOL-MYERS SQUIBB CO,542.00,62.200000,33712.40,0.61%,5525625.00,175000,7,
09/01/2020,ECOZ,BYND,08862E109,BEYOND MEAT INC,632.00,135.850000,85857.20,1.55%,5525625.00,175000,7,
09/01/2020,ECOZ,CAH,14149Y108,CARDINAL HEALTH INC,447.00,50.760000,22689.72,0.41%,5525625.00,175000,7,
09/01/2020,ECOZ,CBRE,12504L109,CBRE GROUP INC,334.00,47.030000,15708.02,0.28%,5525625.00,175000,7,
09/01/2020,ECOZ,CL,194162103,COLGATE PALMOLIVE CO,623.00,79.260000,49378.98,0.89%,5525625.00,175000,7,
09/01/2020,ECOZ,CLX,189054109,CLOROX CO DEL,352.00,223.500000,78672.00,1.42%,5525625.00,175000,7,
09/01/2020,ECOZ,COST,22160K105,COSTCO WHSL CORP NEW,274.00,347.660000,95258.84,1.72%,5525625.00,175000,7,
09/01/2020,ECOZ,CRM,79466L302,SALESFORCE COM INC,252.00,272.650000,68707.80,1.24%,5525625.00,175000,7,
09/01/2020,ECOZ,CTXS,177376100,CITRIX SYS INC,436.00,145.200000,63307.20,1.15%,5525625.00,175000,7,
09/01/2020,ECOZ,DIS,254687106,DISNEY WALT CO,943.00,131.870000,124353.41,2.25%,5525625.00,175000,7,
09/01/2020,ECOZ,EA,285512109,ELECTRONIC ARTS INC,637.00,139.470000,88842.39,1.61%,5525625.00,175000,7,
09/01/2020,ECOZ,ENPH,29355A107,ENPHASE ENERGY INC,1756.00,77.230000,135615.88,2.45%,5525625.00,175000,7,
09/01/2020,ECOZ,ES,30040W108,EVERSOURCE ENERGY,728.00,85.710000,62396.88,1.13%,5525625.00,175000,7,
09/01/2020,ECOZ,EXPD,302130109,EXPEDITORS INTL WASH INC,327.00,88.390000,28903.53,0.52%,5525625.00,175000,7,
09/01/2020,ECOZ,GILD,375558103,GILEAD SCIENCES INC,526.00,66.750000,35110.50,0.64%,5525625.00,175000,7,
09/01/2020,ECOZ,GOOGL,02079K305,ALPHABET INC,98.00,1629.530000,159693.94,2.89%,5525625.00,175000,7,
09/01/2020,ECOZ,GS,38141G104,GOLDMAN SACHS GROUP INC,189.00,204.870000,38720.43,0.70%,5525625.00,175000,7,
09/01/2020,ECOZ,GWW,384802104,GRAINGER W W INC,271.00,365.430000,99031.53,1.79%,5525625.00,175000,7,
09/01/2020,ECOZ,HD,437076102,HOME DEPOT INC,205.00,285.040000,58433.20,1.06%,5525625.00,175000,7,
09/01/2020,ECOZ,IFF,459506101,INTERNATIONAL FLAVORS&FRAGRANC COM,532.00,123.790000,65856.28,1.19%,5525625.00,175000,7,
09/01/2020,ECOZ,INTU,461202103,INTUIT,161.00,345.390000,55607.79,1.01%,5525625.00,175000,7,
09/01/2020,ECOZ,IRM,46284V101,IRON MTN INC NEW,918.00,30.090000,27622.62,0.50%,5525625.00,175000,7,
09/01/2020,ECOZ,ITW,452308109,ILLINOIS TOOL WKS INC,189.00,197.550000,37336.95,0.68%,5525625.00,175000,7,
09/01/2020,ECOZ,JNJ,478160104,JOHNSON & JOHNSON,231.00,153.410000,35437.71,0.64%,5525625.00,175000,7,
09/01/2020,ECOZ,JPM,46625H100,JPMORGAN CHASE & CO.,798.00,100.190000,79951.62,1.45%,5525625.00,175000,7,
09/01/2020,ECOZ,LRCX,512807108,LAM RESEARCH CORP,224.00,336.340000,75340.16,1.36%,5525625.00,175000,7,
09/01/2020,ECOZ,MA,57636Q104,MASTERCARD INCORPORATED,315.00,358.190000,112829.85,2.04%,5525625.00,175000,7,
09/01/2020,ECOZ,MCO,615369105,MOODYS CORP,245.00,294.640000,72186.80,1.31%,5525625.00,175000,7,
09/01/2020,ECOZ,MRK,58933Y105,MERCK & CO. INC,560.00,85.270000,47751.20,0.86%,5525625.00,175000,7,
09/01/2020,ECOZ,MSCI,55354G100,MSCI INC,232.00,373.270000,86598.64,1.57%,5525625.00,175000,7,
09/01/2020,ECOZ,MSFT,594918104,MICROSOFT CORP,826.00,225.530000,186287.78,3.37%,5525625.00,175000,7,
09/01/2020,ECOZ,NDAQ,631103108,NASDAQ INC,199.00,134.420000,26749.58,0.48%,5525625.00,175000,7,
09/01/2020,ECOZ,NFLX,64110L106,NETFLIX INC,175.00,529.560000,92673.00,1.68%,5525625.00,175000,7,
09/01/2020,ECOZ,NKE,654106103,NIKE INC,736.00,111.890000,82351.04,1.49%,5525625.00,175000,7,
09/01/2020,ECOZ,NVDA,67066G104,NVIDIA CORPORATION,210.00,534.820000,112312.20,2.03%,5525625.00,175000,7,
09/01/2020,ECOZ,PEP,713448108,PEPSICO INC,560.00,140.060000,78433.60,1.42%,5525625.00,175000,7,
09/01/2020,ECOZ,PLD,74340W103,PROLOGIS INC.,869.00,101.860000,88516.34,1.60%,5525625.00,175000,7,
09/01/2020,ECOZ,PYPL,70450Y103,PAYPAL HLDGS INC,384.00,204.140000,78389.76,1.42%,5525625.00,175000,7,
09/01/2020,ECOZ,QCOM,747525103,QUALCOMM INC,574.00,119.100000,68363.40,1.24%,5525625.00,175000,7,
09/01/2020,ECOZ,REGN,75886F107,REGENERON PHARMACEUTICALS,135.00,619.930000,83690.55,1.51%,5525625.00,175000,7,
09/01/2020,ECOZ,ROK,773903109,ROCKWELL AUTOMATION INC,501.00,230.530000,115495.53,2.09%,5525625.00,175000,7,
09/01/2020,ECOZ,SBUX,855244109,STARBUCKS CORP,833.00,84.470000,70363.51,1.27%,5525625.00,175000,7,
09/01/2020,ECOZ,SJM,832696405,SMUCKER J M CO,267.00,120.180000,32088.06,0.58%,5525625.00,175000,7,
09/01/2020,ECOZ,SPGI,78409V104,S&P Global Inc,203.00,366.420000,74383.26,1.35%,5525625.00,175000,7,
09/01/2020,ECOZ,SQ,852234103,SQUARE INC,1081.00,159.560000,172484.36,3.12%,5525625.00,175000,7,
09/01/2020,ECOZ,SYY,871829107,SYSCO CORP,872.00,60.140000,52442.08,0.95%,5525625.00,175000,7,
09/01/2020,ECOZ,TGT,87612E106,TARGET CORP,336.00,151.210000,50806.56,0.92%,5525625.00,175000,7,
09/01/2020,ECOZ,TSCO,892356106,TRACTOR SUPPLY CO,434.00,148.830000,64592.22,1.17%,5525625.00,175000,7,
09/01/2020,ECOZ,TSLA,88160R101,TESLA INC,315.00,498.320000,156970.80,2.84%,5525625.00,175000,7,
09/01/2020,ECOZ,TWTR,90184L102,TWITTER INC,980.00,40.580000,39768.40,0.72%,5525625.00,175000,7,
09/01/2020,ECOZ,UBER,90353T100,UBER TECHNOLOGIES INC,2347.00,33.630000,78929.61,1.43%,5525625.00,175000,7,
09/01/2020,ECOZ,UNH,91324P102,UNITEDHEALTH GROUP INC,252.00,312.550000,78762.60,1.43%,5525625.00,175000,7,
09/01/2020,ECOZ,UNP,907818108,UNION PAC CORP,134.00,192.440000,25786.96,0.47%,5525625.00,175000,7,
09/01/2020,ECOZ,UPS,911312106,UNITED PARCEL SERVICE INC,602.00,163.620000,98499.24,1.78%,5525625.00,175000,7,
09/01/2020,ECOZ,V,92826C839,VISA INC,217.00,211.990000,46001.83,0.83%,5525625.00,175000,7,
09/01/2020,ECOZ,VAR,92220P105,VARIAN MED SYS INC,189.00,173.670000,32823.63,0.59%,5525625.00,175000,7,
09/01/2020,ECOZ,VMW,928563402,VMWARE INC,248.00,144.440000,35821.12,0.65%,5525625.00,175000,7,
09/01/2020,ECOZ,VRSN,92343E102,VERISIGN INC,224.00,214.800000,48115.20,0.87%,5525625.00,175000,7,
