Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
09/16/2020,AUGZ,2SPY  210730C00328670,2SPY  210730C00328670,SPY 7/30/2021 328.67 C,205.00,33.999509,696989.93,8.36%,8333032.50,325000,13,
09/16/2020,AUGZ,2SPY  210730P00295800,2SPY  210730P00295800,SPY 7/30/2021 295.80 P,-274.00,17.181646,-470777.10,-5.65%,8333032.50,325000,13,
09/16/2020,AUGZ,912796UC1,912796UC1,UNITED STATES TREAS BILLS,8113000.00,99.959056,8109678.21,97.32%,8333032.50,325000,13,
09/16/2020,AUGZ,Cash&Other,Cash&Other,Cash & Other,-3038.47,1.000000,-3038.47,-0.04%,8333032.50,325000,13,Y
09/16/2020,ECOZ,AAPL,037833100,APPLE INC,1355.00,115.540000,156556.70,2.92%,5354317.50,175000,7,
09/16/2020,ECOZ,ABBV,00287Y109,ABBVIE INC,511.00,90.910000,46455.01,0.87%,5354317.50,175000,7,
09/16/2020,ECOZ,ABC,03073E105,AMERISOURCEBERGEN CORP,778.00,94.900000,73832.20,1.38%,5354317.50,175000,7,
09/16/2020,ECOZ,ABT,002824100,ABBOTT LABS,1114.00,106.580000,118730.12,2.22%,5354317.50,175000,7,
09/16/2020,ECOZ,ACN,G1151C101,ACCENTURE PLC IRELAND,175.00,240.200000,42035.00,0.79%,5354317.50,175000,7,
09/16/2020,ECOZ,ADBE,00724F101,ADOBE SYSTEMS INCORPORATED,213.00,497.670000,106003.71,1.98%,5354317.50,175000,7,
09/16/2020,ECOZ,ALL,020002101,ALLSTATE CORP,248.00,94.840000,23520.32,0.44%,5354317.50,175000,7,
09/16/2020,ECOZ,AMGN,031162100,AMGEN INC,161.00,248.350000,39984.35,0.75%,5354317.50,175000,7,
09/16/2020,ECOZ,AMZN,023135106,AMAZON COM INC,56.00,3156.130000,176743.28,3.30%,5354317.50,175000,7,
09/16/2020,ECOZ,AXP,025816109,AMERICAN EXPRESS CO,397.00,106.680000,42351.96,0.79%,5354317.50,175000,7,
09/16/2020,ECOZ,BAX,071813109,BAXTER INTL INC,596.00,80.510000,47983.96,0.90%,5354317.50,175000,7,
09/16/2020,ECOZ,BKNG,09857L108,BOOKING HOLDINGS INC,38.00,1787.000000,67906.00,1.27%,5354317.50,175000,7,
09/16/2020,ECOZ,BLK,09247X101,BLACKROCK INC,119.00,548.160000,65231.04,1.22%,5354317.50,175000,7,
09/16/2020,ECOZ,BLL,058498106,BALL CORP,602.00,84.430000,50826.86,0.95%,5354317.50,175000,7,
09/16/2020,ECOZ,BMY,110122108,BRISTOL-MYERS SQUIBB CO,542.00,59.530000,32265.26,0.60%,5354317.50,175000,7,
09/16/2020,ECOZ,BYND,08862E109,BEYOND MEAT INC,632.00,146.480000,92575.36,1.73%,5354317.50,175000,7,
09/16/2020,ECOZ,CAH,14149Y108,CARDINAL HEALTH INC,447.00,46.550000,20807.85,0.39%,5354317.50,175000,7,
09/16/2020,ECOZ,CBRE,12504L109,CBRE GROUP INC,334.00,49.630000,16576.42,0.31%,5354317.50,175000,7,
09/16/2020,ECOZ,CL,194162103,COLGATE PALMOLIVE CO,623.00,76.940000,47933.62,0.90%,5354317.50,175000,7,
09/16/2020,ECOZ,CLX,189054109,CLOROX CO DEL,247.00,209.590000,51768.73,0.97%,5354317.50,175000,7,
