Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
09/09/2020,AUGZ,2SPY  210730C00328670,2SPY  210730C00328670,SPY 7/30/2021 328.67 C,236.00,31.384067,740663.98,7.83%,9460012.50,375000,15,
09/09/2020,AUGZ,2SPY  210730P00295800,2SPY  210730P00295800,SPY 7/30/2021 295.80 P,-316.00,20.167262,-637285.48,-6.74%,9460012.50,375000,15,
09/09/2020,AUGZ,912796UC1,912796UC1,UNITED STATES TREAS BILLS,9363000.00,99.955448,9358828.60,98.93%,9460012.50,375000,15,
09/09/2020,AUGZ,Cash&Other,Cash&Other,Cash & Other,-2398.75,1.000000,-2398.75,-0.03%,9460012.50,375000,15,Y
09/09/2020,ECOZ,AAPL,037833100,APPLE INC,1355.00,112.820000,152871.10,2.96%,5170322.50,175000,7,
09/09/2020,ECOZ,ABBV,00287Y109,ABBVIE INC,511.00,90.220000,46102.42,0.89%,5170322.50,175000,7,
09/09/2020,ECOZ,ABC,03073E105,AMERISOURCEBERGEN CORP,778.00,95.360000,74190.08,1.43%,5170322.50,175000,7,
09/09/2020,ECOZ,ABT,002824100,ABBOTT LABS,1114.00,102.840000,114563.76,2.22%,5170322.50,175000,7,
09/09/2020,ECOZ,ACN,G1151C101,ACCENTURE PLC IRELAND,175.00,232.650000,40713.75,0.79%,5170322.50,175000,7,
09/09/2020,ECOZ,ADBE,00724F101,ADOBE SYSTEMS INCORPORATED,213.00,462.130000,98433.69,1.90%,5170322.50,175000,7,
09/09/2020,ECOZ,ALL,020002101,ALLSTATE CORP,248.00,91.250000,22630.00,0.44%,5170322.50,175000,7,
09/09/2020,ECOZ,AMGN,031162100,AMGEN INC,161.00,241.180000,38829.98,0.75%,5170322.50,175000,7,
09/09/2020,ECOZ,AMZN,023135106,AMAZON COM INC,56.00,3149.840000,176391.04,3.41%,5170322.50,175000,7,
09/09/2020,ECOZ,AXP,025816109,AMERICAN EXPRESS CO,397.00,103.670000,41156.99,0.80%,5170322.50,175000,7,
09/09/2020,ECOZ,BAX,071813109,BAXTER INTL INC,596.00,81.290000,48448.84,0.94%,5170322.50,175000,7,
09/09/2020,ECOZ,BKNG,09857L108,BOOKING HOLDINGS INC,38.00,1891.600000,71880.80,1.39%,5170322.50,175000,7,
