Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
06/05/2020,ECOZ,AAPL,037833100,APPLE INC,280.00,322.320000,90249.60,2.68%,3361775.00,125000,5,
06/05/2020,ECOZ,ABBV,00287Y109,ABBVIE INC,365.00,93.040000,33959.60,1.01%,3361775.00,125000,5,
06/05/2020,ECOZ,ABC,03073E105,AMERISOURCEBERGEN CORP,450.00,99.450000,44752.50,1.33%,3361775.00,125000,5,
06/05/2020,ECOZ,ABT,002824100,ABBOTT LABS,796.00,88.250000,70247.00,2.09%,3361775.00,125000,5,
06/05/2020,ECOZ,ACN,G1151C101,ACCENTURE PLC IRELAND,125.00,203.100000,25387.50,0.76%,3361775.00,125000,5,
06/05/2020,ECOZ,ADBE,00724F101,ADOBE INC,153.00,385.800000,59027.40,1.76%,3361775.00,125000,5,
06/05/2020,ECOZ,ALL,020002101,ALLSTATE CORP,355.00,101.860000,36160.30,1.08%,3361775.00,125000,5,
06/05/2020,ECOZ,AMGN,031162100,AMGEN INC,115.00,220.880000,25401.20,0.76%,3361775.00,125000,5,
06/05/2020,ECOZ,AMZN,023135106,AMAZON COM INC,40.00,2460.600000,98424.00,2.93%,3361775.00,125000,5,
06/05/2020,ECOZ,AXP,025816109,AMERICAN EXPRESS CO,275.00,106.540000,29298.50,0.87%,3361775.00,125000,5,
06/05/2020,ECOZ,BAX,071813109,BAXTER INTL INC,645.00,88.630000,57166.35,1.70%,3361775.00,125000,5,
06/05/2020,ECOZ,BKNG,09857L108,BOOKING HOLDINGS INC,21.00,1742.640000,36595.44,1.09%,3361775.00,125000,5,
06/05/2020,ECOZ,BLK,09247X101,BLACKROCK INC,85.00,546.190000,46426.15,1.38%,3361775.00,125000,5,
06/05/2020,ECOZ,BLL,058498106,BALL CORP,430.00,75.400000,32422.00,0.96%,3361775.00,125000,5,
06/05/2020,ECOZ,BMY,110122108,BRISTOL-MYERS SQUIBB CO,655.00,60.890000,39882.95,1.19%,3361775.00,125000,5,
06/05/2020,ECOZ,BYND,08862E109,BEYOND MEAT INC,378.00,136.440000,51574.32,1.53%,3361775.00,125000,5,
06/05/2020,ECOZ,CBOE,12503M108,CBOE GLOBAL MARKETS INC,541.00,101.030000,54657.23,1.63%,3361775.00,125000,5,
06/05/2020,ECOZ,CBRE,12504L109,CBRE GROUP INC,550.00,50.410000,27725.50,0.82%,3361775.00,125000,5,
06/05/2020,ECOZ,CL,194162103,COLGATE PALMOLIVE CO,445.00,70.750000,31483.75,0.94%,3361775.00,125000,5,
06/05/2020,ECOZ,CLX,189054109,CLOROX CO DEL,252.00,204.250000,51471.00,1.53%,3361775.00,125000,5,
06/05/2020,ECOZ,COST,22160K105,COSTCO WHSL CORP NEW,196.00,310.750000,60907.00,1.81%,3361775.00,125000,5,
06/05/2020,ECOZ,CPB,134429109,CAMPBELL SOUP CO,246.00,48.770000,11997.42,0.36%,3361775.00,125000,5,
06/05/2020,ECOZ,CRM,79466L302,SALESFORCE COM INC,180.00,171.440000,30859.20,0.92%,3361775.00,125000,5,
06/05/2020,ECOZ,CTXS,177376100,CITRIX SYS INC,455.00,139.930000,63668.15,1.89%,3361775.00,125000,5,
