Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
05/15/2020,ECOZ,AAPL,037833100,APPLE INC,224.00,309.540000,69336.96,2.74%,2532370.00,100000,4,
05/15/2020,ECOZ,ABBV,00287Y109,ABBVIE INC,292.00,89.940000,26262.48,1.04%,2532370.00,100000,4,
05/15/2020,ECOZ,ABC,03073E105,AMERISOURCEBERGEN CORP,360.00,83.610000,30099.60,1.19%,2532370.00,100000,4,
05/15/2020,ECOZ,ABT,002824100,ABBOTT LABS,637.00,91.780000,58463.86,2.31%,2532370.00,100000,4,
05/15/2020,ECOZ,ACN,G1151C101,ACCENTURE PLC IRELAND,100.00,179.990000,17999.00,0.71%,2532370.00,100000,4,
05/15/2020,ECOZ,ADBE,00724F101,ADOBE INC,123.00,355.390000,43712.97,1.73%,2532370.00,100000,4,
05/15/2020,ECOZ,AFL,001055102,AFLAC INC,420.00,32.760000,13759.20,0.54%,2532370.00,100000,4,
05/15/2020,ECOZ,ALL,020002101,ALLSTATE CORP,284.00,93.920000,26673.28,1.05%,2532370.00,100000,4,
05/15/2020,ECOZ,AMGN,031162100,AMGEN INC,92.00,236.380000,21746.96,0.86%,2532370.00,100000,4,
05/15/2020,ECOZ,AMZN,023135106,AMAZON COM INC,32.00,2388.850000,76443.20,3.02%,2532370.00,100000,4,
05/15/2020,ECOZ,AXP,025816109,AMERICAN EXPRESS CO,220.00,83.810000,18438.20,0.73%,2532370.00,100000,4,
05/15/2020,ECOZ,BAX,071813109,BAXTER INTL INC,516.00,86.920000,44850.72,1.77%,2532370.00,100000,4,
05/15/2020,ECOZ,BKNG,09857L108,BOOKING HOLDINGS INC,17.00,1382.510000,23502.67,0.93%,2532370.00,100000,4,
05/15/2020,ECOZ,BLK,09247X101,BLACKROCK INC,68.00,498.200000,33877.60,1.34%,2532370.00,100000,4,
05/15/2020,ECOZ,BLL,058498106,BALL CORP,344.00,62.040000,21341.76,0.84%,2532370.00,100000,4,
05/15/2020,ECOZ,BMY,110122108,BRISTOL-MYERS SQUIBB CO,524.00,63.770000,33415.48,1.32%,2532370.00,100000,4,
05/15/2020,ECOZ,BYND,08862E109,BEYOND MEAT INC,303.00,135.410000,41029.23,1.62%,2532370.00,100000,4,
05/15/2020,ECOZ,CBOE,12503M108,CBOE GLOBAL MARKETS INC,433.00,99.340000,43014.22,1.70%,2532370.00,100000,4,
05/15/2020,ECOZ,CBRE,12504L109,CBRE GROUP INC,440.00,35.850000,15774.00,0.62%,2532370.00,100000,4,
05/15/2020,ECOZ,CL,194162103,COLGATE PALMOLIVE CO,356.00,67.060000,23873.36,0.94%,2532370.00,100000,4,
05/15/2020,ECOZ,CLX,189054109,CLOROX CO DEL,202.00,206.210000,41654.42,1.64%,2532370.00,100000,4,
05/15/2020,ECOZ,COST,22160K105,COSTCO WHSL CORP NEW,157.00,299.740000,47059.18,1.86%,2532370.00,100000,4,
05/15/2020,ECOZ,CPB,134429109,CAMPBELL SOUP CO,197.00,52.970000,10435.09,0.41%,2532370.00,100000,4,
05/15/2020,ECOZ,CRM,79466L302,SALESFORCE COM INC,144.00,167.000000,24048.00,0.95%,2532370.00,100000,4,
05/15/2020,ECOZ,CTXS,177376100,CITRIX SYS INC,364.00,146.060000,53165.84,2.10%,2532370.00,100000,4,
05/15/2020,ECOZ,DIS,254687106,DISNEY WALT CO,420.00,105.910000,44482.20,1.76%,2532370.00,100000,4,
05/15/2020,ECOZ,EA,285512109,ELECTRONIC ARTS INC,364.00,117.120000,42631.68,1.68%,2532370.00,100000,4,
05/15/2020,ECOZ,EIX,281020107,EDISON INTL,444.00,57.520000,25538.88,1.01%,2532370.00,100000,4,
05/15/2020,ECOZ,ENPH,29355A107,ENPHASE ENERGY INC,836.00,56.980000,47635.28,1.88%,2532370.00,100000,4,
