Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
09/02/2020,AUGZ,2SPY  210730C00328670,2SPY  210730C00328670,SPY 7/30/2021 328.67 C,236.00,44.139588,1041694.28,10.54%,9887662.50,375000,15,
09/02/2020,AUGZ,2SPY  210730P00295800,2SPY  210730P00295800,SPY 7/30/2021 295.80 P,-316.00,16.207514,-512157.44,-5.18%,9887662.50,375000,15,
09/02/2020,AUGZ,912796UC1,912796UC1,UNITED STATES TREAS BILLS,9363000.00,99.955806,9358862.12,94.65%,9887662.50,375000,15,
09/02/2020,AUGZ,Cash&Other,Cash&Other,Cash & Other,-949.89,1.000000,-949.89,-0.01%,9887662.50,375000,15,Y
09/02/2020,ECOZ,AAPL,037833100,APPLE INC,1568.00,134.180000,210394.24,3.79%,5556372.50,175000,7,
09/02/2020,ECOZ,ABBV,00287Y109,ABBVIE INC,511.00,92.240000,47134.64,0.85%,5556372.50,175000,7,
09/02/2020,ECOZ,ABC,03073E105,AMERISOURCEBERGEN CORP,778.00,94.300000,73365.40,1.32%,5556372.50,175000,7,
09/02/2020,ECOZ,ABT,002824100,ABBOTT LABS,1114.00,106.550000,118696.70,2.14%,5556372.50,175000,7,
09/02/2020,ECOZ,ACN,G1151C101,ACCENTURE PLC IRELAND,175.00,240.020000,42003.50,0.76%,5556372.50,175000,7,
09/02/2020,ECOZ,ADBE,00724F101,ADOBE SYSTEMS INCORPORATED,213.00,527.950000,112453.35,2.02%,5556372.50,175000,7,
09/02/2020,ECOZ,ALL,020002101,ALLSTATE CORP,248.00,92.960000,23054.08,0.41%,5556372.50,175000,7,
09/02/2020,ECOZ,AMGN,031162100,AMGEN INC,161.00,250.860000,40388.46,0.73%,5556372.50,175000,7,
09/02/2020,ECOZ,AMZN,023135106,AMAZON COM INC,56.00,3499.120000,195950.72,3.53%,5556372.50,175000,7,
09/02/2020,ECOZ,AXP,025816109,AMERICAN EXPRESS CO,397.00,102.470000,40680.59,0.73%,5556372.50,175000,7,
09/02/2020,ECOZ,BAX,071813109,BAXTER INTL INC,596.00,85.550000,50987.80,0.92%,5556372.50,175000,7,
09/02/2020,ECOZ,BKNG,09857L108,BOOKING HOLDINGS INC,38.00,1928.860000,73296.68,1.32%,5556372.50,175000,7,
09/02/2020,ECOZ,BLK,09247X101,BLACKROCK INC,119.00,596.240000,70952.56,1.28%,5556372.50,175000,7,
09/02/2020,ECOZ,BLL,058498106,BALL CORP,602.00,81.970000,49345.94,0.89%,5556372.50,175000,7,
09/02/2020,ECOZ,BMY,110122108,BRISTOL-MYERS SQUIBB CO,542.00,60.970000,33045.74,0.59%,5556372.50,175000,7,
09/02/2020,ECOZ,BYND,08862E109,BEYOND MEAT INC,632.00,135.240000,85471.68,1.54%,5556372.50,175000,7,
09/02/2020,ECOZ,CAH,14149Y108,CARDINAL HEALTH INC,447.00,49.340000,22054.98,0.40%,5556372.50,175000,7,
09/02/2020,ECOZ,CBRE,12504L109,CBRE GROUP INC,334.00,47.770000,15955.18,0.29%,5556372.50,175000,7,
